Номенклатура,Артикул,Группа,Стоимость,Прибыль,Поставщик,Предмет,остатки через 10 дней,Цена остатка,Рентабельность,Траты на рекламу за вчера,ДРР,Базовая,БАЗА Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,-5 Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Новая рентабельность,АКЦИЯ выгоднее,Продажи,Продажи за вчера,Продажи за 3 дня,Тренд,Ср. 7 дней,Прибыль 2021,Дней в продаже,Цена остатка на стоках,Склад WB,FBS,Ожидание,Закуп,Озон МС,Мойсклад,Оборачиваемость,Заканчивается через,Оборачиваемость склада,Обор посл день (весь),Обор 3 дня (весь),Обор 3 дня,Обор посл день ВБ,Коледино,Дней на сайте,Себес,Комиссия,Логистика ВБ,Литраж,Логистика литраж,Логистика мпстатс,Прибыль с партии,Прибыль с партии нов,Прибыль в мес,Новая прибыль,Изменение цены на...,причина,Новая цена,Новая базовая,Прибыль новая,Новая комиссия,Упаковка,Админ расход,Хранение в мес,Налог и реклама,% брака,% брака МС,% выкупа,Цена товара + ожидание,Остаток МС,Остаток ВБ,Траты на рекламу за вчера,ДРР
161246504,dush_pohodV,Неликвид/Весна - лето / Неликвид,1608,147,"ООО ""ОПТСЕРВИС""",Походный душ,0,44522,9%,0,0%,3216,1548,-61,-12%,21%,1479,-130,0,19%,9%,-19%,4.3,1,0,0,,0,0,44522,41,0,40,,0,1,9,,10,42,126,123,41,1,40,1060,273,0,9,90,100,6177,6177,19105,19105,,,1608,3216,147,273,21,0,11,0,5,5,92,86925,,,,0.00%
164161796,palochki_drakonV,Актив/Новинки,319,48,"ООО ""ОПТСЕРВИС""",Палочки для еды,10403,12198,15%,176,28%,638,250,-70,2%,13%,236,-84,0,12%,15%,-12%,1.1,2,1,2,,0,0,12198,33,0,0,,0,181,31,,202,107,321,50,17,25,75,57,61,0,0,64,19,10315,10315,1518,1518,,,319,638,48,61,24,27,8,30,0,0,96,12198,10317,1881,176,52.54%
162412405,termo_kotikV,Неликвид,612,25,ИП Капаев Денис Анатольевич,Термокружки,41532,62669,4%,0,0%,1224,588,-25,-17%,21%,563,-50,0,20%,4%,-20%,1.9,1,0,1,,0,0,62669,31,0,0,,0,138,16,,88,169,507,93,31,0,40,371,116,0,2,66,41,4289,4289,1447,1447,,,612,1224,25,116,24,0,8,0,2,2,93,62669,,,,0.00%
163615879,nabor_liner24V,Актив/Новинки,431,52,"ООО ""ОПТСЕРВИС""",Ручки,13818,21119,12%,227,8%,862,387,-45,6%,6%,,-432,,12%,12%,0%,1.7,7,2,4,,0,0,21119,43,0,0,1,0,108,25,,86,22,65,18,6,19,40,140,65,0,1,64,48,7891,7891,2728,2728,,,431,862,52,65,24,37,8,40,1,1,95,21119,,,,0.00%
163725009,chesnokodavkaV,Актив/Новинки,504,67,"ООО ""ОПТСЕРВИС""",Прессы для чеснока,9834,12253,13%,233,,1008,413,-92,2%,11%,383,-122,0,11%,13%,-11%,0.5,0,0,0,,0,0,12253,64,0,0,,0,15,123,,149,999,999,999,999,37,75,155,96,0,1,64,9,5254,5254,1038,1038,,,504,1008,67,96,24,43,8,47,1,1,96,12253,2327,9927,233,88.90%
166176382,termometr_komnatniyV,Неликвид,467,40,"ООО ""ОПТСЕРВИС""",Термометры комнатные,34582,41372,9%,42,9%,934,393,-75,-23%,32%,373,-95,0,31%,9%,-31%,0.9,1,0,1,,0,0,41372,29,0,0,,0,141,31,,181,170,510,87,29,0,27,243,89,0,,64,23,6855,6855,1125,1125,,,467,934,40,89,21,0,8,0,1,1,95,41372,34315,7058,42,9.67%
163611583,businki_rukodelV,Актив/Новинки,302,17,"ООО ""ОПТСЕРВИС""",Бусины,20884,23035,6%,134,22%,604,278,-25,1%,5%,,-303,,6%,6%,0%,0.9,2,1,2,,0,0,23035,61,0,0,,0,212,72,,317,137,410,92,31,36,40,84,51,0,0,65,15,4753,4753,444,444,,,302,604,17,51,21,26,8,28,0,0,93,23035,,,,0.00%
161226960,nozhnicy_kuhV,Неликвид,529,33,"ООО ""ОПТСЕРВИС""",Ножницы кухонные,102279,104073,6%,26,,1058,612,82,-2%,8%,581,51,0,6%,6%,-10%,0.2,0,0,0,,0,0,104073,40,0,0,,0,308,200,,1657,999,999,999,999,40,82,299,101,0,2,63,6,11330,11330,195,195,,,529,1058,33,101,24,0,8,0,1,1,96,104073,,,,0.00%
162226364,shar_stirka_6cm2V,Неликвид,308,5,"ООО ""ОПТСЕРВИС""",Шары для стиральной машины,59625,60237,2%,0,0%,616,311,2,-15%,17%,295,-14,0,17%,2%,-17%,0.1,1,0,8,,0,0,60237,84,0,0,,0,300,646,,2743,384,1152,252,84,38,35,157,52,0,,64,2,1935,1935,20,20,,,308,616,5,52,21,0,8,0,1,1,96,60237,,,,0.00%
162212810,sozd_ukrashV,Неликвид,639,12,"ООО ""ОПТСЕРВИС""",Браслеты,76523,81771,2%,0,,1278,694,54,-10%,12%,,-640,,2%,2%,0%,0.4,0,0,0,,0,0,81771,65,0,0,,0,136,151,,457,999,999,999,999,40,35,407,121,0,,68,8,2378,2378,153,153,,,639,1278,12,121,21,0,8,0,2,2,89,81771,55328,26443,0,0.00%
161259504,naushnikiV,Актив/Новинки,2340,127,"ООО ""ОПТСЕРВИС""",Наушники для стрельбы,221824,252837,5%,63,,4680,2124,-217,0%,6%,,-2341,,5%,5%,0%,0.8,0,0,0,,0,0,252837,35,0,0,,0,168,42,,242,999,999,999,999,33,75,1246,445,0,3,69,24,25754,25754,3159,3159,,,2340,4680,127,445,21,202,8,218,6,6,88,252837,,,,0.00%
161187130,podstavka_yaicaV,Актив/Новинки,565,38,"ООО ""ОПТСЕРВИС""",Подставки для яиц,31795,47588,7%,51,,1130,575,9,8%,-1%,551,-15,0,-2%,8%,2%,2.5,0,0,0,,0,0,47588,78,0,400,,0,148,31,,90,999,999,999,999,49,43,211,107,0,7,77,57,8559,10697,2840,3550,15,,580,1160,47,110,21,49,9,53,1,1,92,131814,31164,16424,51,3.61%
162562147,ochki_plavaniyaV,Неликвид,550,33,"ООО ""ОПТСЕРВИС""",Очки для плавания,87461,88675,6%,0,,1100,666,115,1%,5%,,-551,,6%,6%,0%,0.1,0,0,0,,0,0,88675,36,0,0,,0,249,277,,2036,999,999,999,999,34,72,311,105,0,4,68,3,9357,9357,128,128,,,550,1100,33,105,24,0,8,0,2,2,89,88675,,,,0.00%
164296621,vakuum_ochisitelV,Неликвид,662,18,"ООО ""ОПТСЕРВИС""",Приборы для очищения кожи,150031,153305,3%,8,,1324,633,-30,-19%,22%,,-663,,3%,3%,0%,0.2,0,0,0,,0,0,153305,90,0,0,,0,233,391,,1346,999,999,999,999,44,35,475,66,0,,65,4,5734,5734,122,122,,,662,1324,18,66,28,0,8,0,2,2,93,153305,110589,42717,8,5.25%
163729553,rybochistkaV,Актив/Новинки,214,13,"ООО ""ОПТСЕРВИС""",Рыбочистки,9418,9716,6%,14,,428,190,-25,-1%,7%,184,-31,0,4%,6%,-4%,0.4,0,0,0,,0,0,9716,74,0,0,,0,297,195,,951,999,999,999,999,47,75,26,41,0,2,64,9,4668,4668,143,143,,,214,428,13,41,24,18,8,20,0,0,95,9716,7778,1938,14,17.22%
161792713,penal_rocketV,Актив/Осень / Сезонные,384,35,"ООО ""ОПТСЕРВИС""",Пеналы,22011,23858,9%,0,,768,321,-64,-2%,11%,,-385,,9%,9%,0%,0.5,0,0,0,,0,0,23858,186,0,0,,0,0,388,,380,999,999,999,999,89,27,128,58,0,2,64,13,6540,6540,506,506,,,384,768,35,58,21,33,8,36,1,1,95,23858,0,23858,0,0.00%
163139967,dver_blokV,Неликвид,251,26,"ООО ""ОПТСЕРВИС""",Защитные накладки для дома,4608,7992,10%,0,,502,277,25,-1%,11%,,-252,,10%,10%,0%,1.3,0,0,0,,0,0,7992,45,0,0,,0,45,35,,70,999,999,999,999,32,22,89,43,0,1,64,22,2332,2332,987,987,,,251,502,26,43,21,0,8,0,0,0,95,7992,,,,0.00%
164290531,nozhnicy_japanV,Неликвид,336,51,"ООО ""ОПТСЕРВИС""",Ножницы кухонные,10902,11631,15%,98,,672,332,-5,-3%,19%,317,-20,0,21%,19%,-21%,0.2,0,0,0,,0,0,11631,69,0,0,,0,22,363,,455,999,999,999,999,48,82,128,64,0,1,63,4,4663,6137,292,384,20,,356,712,67,68,21,0,8,0,1,1,96,11631,,,,0.00%
163181123,konteiner_musorV,Актив/Новинки,895,46,"ООО ""ОПТСЕРВИС""",Мусорные ведра,29855,34596,5%,0,,1790,761,-135,-5%,11%,716,-180,0,10%,5%,-10%,0.4,0,0,0,,0,0,34596,37,0,0,,0,44,100,,213,999,999,999,999,37,82,427,152,0,,70,12,3737,3737,512,512,,,895,1790,46,152,29,77,8,83,2,2,85,34596,,,,0.00%
162027418,tochilka_nozheyV,Актив/Новинки,662,68,"ООО ""ОПТСЕРВИС""",Точилки для ножей,65500,70956,10%,43,,1324,577,-86,3%,8%,556,-107,0,5%,10%,-5%,0.7,0,0,0,,0,0,70956,66,0,0,,0,211,93,,385,999,999,999,999,38,75,256,126,0,1,63,14,18860,18860,1450,1450,,,662,1324,68,126,21,57,8,62,1,1,97,70956,54050,16907,43,9.15%
162032365,yomkost_maslaV,Неликвид,650,18,"ООО ""ОПТСЕРВИС""",Емкости для масла и уксуса,59028,59028,3%,28,,1300,741,90,-5%,8%,702,51,0,7%,3%,-10%,0.0,0,0,0,,0,0,59028,50,0,0,,0,96,0,,14600,999,999,999,999,50,50,404,124,0,4,65,73,2682,2682,0,0,,,650,1300,18,124,29,0,8,0,2,2,94,59028,,,,
164163384,podvodnay_maskaV,Актив/Лето (только лето) / Сезонные,1375,101,"ООО ""ОПТСЕРВИС""",Очки для плавания,69777,127047,7%,0,,2750,1301,-75,4%,3%,,-1376,,7%,7%,0%,2.9,0,0,0,,0,0,127047,66,0,100,,0,127,23,,66,999,999,999,999,38,114,658,261,0,,68,81,19499,19499,8789,8789,,,1375,2750,101,261,29,118,8,128,3,3,89,192875,,,,0.00%
166177497,survivor_naborV,Неликвид,1135,81,"ООО ""ОПТСЕРВИС""",Наборы для путешествий,37890,56416,7%,0,0%,2270,1048,-88,-17%,24%,,-1136,,7%,7%,0%,0.8,2,1,2,,0,0,56416,36,0,0,,0,38,44,,90,37,111,54,18,0,30,762,193,0,,66,21,5997,5997,1969,1969,,,1135,2270,81,193,21,0,8,0,4,4,93,56416,28970,27445,0,0.00%
163141187,dozator_mylaV,Неликвид,974,124,"ООО ""ОПТСЕРВИС""",Дозаторы для ванной,83914,83914,13%,40,,1948,1075,100,1%,12%,1032,57,0,9%,13%,-10%,0.0,0,0,0,,0,0,83914,80,0,150,,0,68,0,,14800,999,999,999,999,49,72,567,185,0,2,66,73,18414,18414,0,0,,,974,1948,124,185,21,0,8,0,3,3,93,168963,,,,
164278123,pullery_molniyaV,Актив/Новинки,245,16,"ООО ""ОПТСЕРВИС""",Швейная фурнитура,7910,9334,7%,0,,490,,-246,,7%,,-246,,7%,7%,0%,1.5,0,0,0,,0,0,9334,0,0,0,,0,295,0,,195,999,999,999,999,0,50,32,42,0,0,65,2,4864,4864,742,742,,,245,490,16,42,39,21,8,23,0,0,94,9334,,,,0.00%
164069983,penal_belkletkaV,Актив/Осень / Сезонные,624,51,"ООО ""ОПТСЕРВИС""",Пеналы,37143,38782,8%,0,0%,1248,549,-76,0%,8%,,-625,,8%,8%,0%,0.2,1,0,5,,0,0,38782,142,0,0,,0,0,710,,676,142,426,426,142,42,82,273,94,0,2,64,4,7185,7185,304,304,,,624,1248,51,94,21,54,8,58,1,1,95,38782,,,,0.00%
164274541,forma_stakanV,Актив/Новинки,681,20,"ООО ""ОПТСЕРВИС""",Молды для рукоделия,29857,29857,3%,0,,1362,,-682,,3%,,-682,,3%,3%,0%,0.0,0,0,0,,0,0,29857,0,0,0,,0,99,0,,9900,999,999,999,999,0,55,302,116,0,6,72,80,2017,2017,0,0,,,681,1362,20,116,39,59,9,63,2,2,93,29857,29857,0,0,
162865194,risomoykaV,Актив/Новинки,737,36,"ООО ""ОПТСЕРВИС""",Дуршлаги,31223,31223,5%,0,,1474,,-738,,5%,,-738,,5%,5%,0%,0.0,0,0,0,,0,0,31223,0,0,0,,0,99,0,,9900,999,999,999,999,0,50,315,140,0,5,65,0,3579,3579,0,0,,,737,1474,36,140,39,63,8,69,2,2,93,31223,31223,0,0,
165260432,karabin4V,,272,-42,"ООО ""ОПТСЕРВИС""",Карабины,6087,9740,-15%,0,,544,,-273,,-15%,,-273,,-15%,-15%,0%,1.0,0,0,0,,0,0,9740,0,50,0,,0,80,0,,79,999,999,999,999,0,50,122,46,0,1,65,10,-3354,-3354,-1258,-1258,,,272,544,-42,46,24,23,8,25,1,1,94,9740,9740,0,0,0.00%
165543817,nozh_lapkaV,Актив/Осень / Сезонные,,-127,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,0,17,0,0,,63,73,0,0,0,0,,,0,,-127,0,39,0,8,0,0,0,97,0,0,0,0,
166060606,zavyazivateli_sharov5V,Неликвид,215,21,"ООО ""ОПТСЕРВИС""",Ленты для гирлянд из воздушных шаров,6956,7934,10%,0,0%,430,202,-14,-13%,23%,196,-20,0,26%,16%,-26%,0.5,2,1,4,,0,0,7934,33,0,0,,0,96,62,,239,65,194,50,17,0,50,62,37,0,,64,17,2679,4821,330,594,20,,235,470,37,40,24,0,8,0,0,0,96,7934,5904,2030,0,0.00%
167795284,penal_kletka_greyV,Актив/Осень / Сезонные,,-147,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,0,37,0,0,,63,73,0,0,0,0,,,0,,-147,0,39,0,8,0,0,0,97,0,,,,
162198473,iskatel_metallV,Неликвид/Весна - лето / Неликвид,3073,-13,"ООО ""ОПТСЕРВИС""",Металлоискатели,42900,63375,0%,0,,6146,,-3074,,0%,,-3074,,0%,0%,0%,0.3,0,0,0,,0,0,63375,0,24,0,,0,26,0,,90,999,999,999,999,0,87,2438,522,0,,67,3,-332,-332,-107,-107,,,3073,6146,-13,522,39,0,8,0,12,12,90,63375,63375,0,0,0.00%
166462258,perevayzka10_2V,Неликвид/Военка,535,-41,,Бинты медицинские,26347,26347,-8%,0,,1070,536,0,-25%,18%,,-536,,-8%,-8%,0%,0.0,0,0,0,,0,0,26347,24,0,0,,0,44,0,,6800,999,999,999,999,0,0,387,91,0,2,64,73,-2800,-2800,0,0,,,535,1070,-41,91,24,0,8,0,2,2,96,26347,17048,9299,0,
167788528,penal_arbuzV,Актив/Осень / Сезонные,,-257,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,0,147,0,0,,63,73,0,0,0,0,,,0,,-257,0,39,0,8,0,1,1,97,0,,,,
162033228,raspylitel_maslaV,Актив/Новинки,496,23,"ООО ""ОПТСЕРВИС""",Емкости для масла и уксуса,48010,53106,5%,90,,992,445,-52,-2%,7%,426,-71,0,5%,5%,-5%,0.9,0,0,0,,0,0,53106,65,0,0,,0,207,75,,309,999,999,999,999,45,82,195,94,0,1,65,26,6157,6157,591,591,,,496,992,23,94,21,43,8,46,1,1,94,53106,,,,0.00%
164310981,nabor_korob_ser6V,Неликвид,1747,156,"ООО ""ОПТСЕРВИС""",Коробки для хранения,0,1176,9%,0,0%,3494,1523,-225,-20%,29%,,-1748,,9%,9%,0%,0.6,1,0,2,,0,0,1176,1,0,0,,0,0,2,,2,1,3,3,1,0,143,1176,297,0,,65,15,156,156,2953,2953,,,1747,3494,156,297,39,0,8,0,6,6,94,1176,,,,0.00%
168583980,planirovchik_fiolV,Актив/Осень / Сезонные,610,8,"ООО ""ОПТСЕРВИС""",Планеры,87182,87182,1%,0,,1220,,-611,,1%,,-611,,1%,1%,0%,0.0,0,0,0,,0,0,87182,0,0,0,,0,300,0,,30000,999,999,999,999,0,0,291,92,0,1,63,73,2285,2285,0,0,,,610,1220,8,92,39,53,8,57,1,1,97,87182,,,,
161877669,melnica_speciyV,Неликвид,535,44,"ООО ""ОПТСЕРВИС""",Мельницы,84821,86319,8%,57,,1070,588,52,-3%,11%,556,20,0,10%,8%,-10%,0.2,0,0,0,,0,0,86319,55,0,0,,0,239,324,,1633,999,999,999,999,46,30,294,102,0,,65,5,12973,12973,225,225,,,535,1070,44,102,21,0,8,0,1,1,94,86319,,,,0.00%
163576371,nabor_krepleniyV,Актив/Лето (только лето) / Сезонные,1021,154,"ООО ""ОПТСЕРВИС""",Крепления и каркасы для садовых качелей,0,0,15%,0,,2042,,-1022,,15%,,-1022,,15%,15%,0%,3.1,0,0,0,,0,0,0,0,0,250,,0,0,0,,0,999,999,999,999,0,72,410,174,0,,66,44,0,0,14214,14214,,,1021,2042,154,174,24,88,8,95,2,2,92,102483,,,,0.00%
161791079,penal_bezhrozV,Актив/Осень / Сезонные,655,56,"ООО ""ОПТСЕРВИС""",Пеналы,45502,45848,9%,522,,1310,553,-103,-2%,11%,,-656,,9%,9%,0%,0.0,0,0,0,,0,0,45848,159,0,0,,0,0,3975,,3180,999,999,999,999,49,75,288,98,0,2,64,1,8917,8917,67,67,,,655,1310,56,98,21,56,8,61,1,1,95,45848,0,45848,522,1992.34%
161234932,matras_gamakV,Актив/Лето (только лето) / Сезонные,655,177,"ООО ""ОПТСЕРВИС""",Матрасы для плавания,306,3064,27%,0,,1310,855,199,36%,-9%,,-656,,27%,27%,0%,0.6,0,0,0,,0,0,3064,20,0,150,,0,0,33,,33,999,999,999,999,19,75,153,111,0,3,66,14,3541,3541,3187,3187,,,655,1310,177,111,21,56,8,61,1,1,92,26042,0,3064,0,0.00%
161221412,shtopor_chernV,Неликвид,411,36,"ООО ""ОПТСЕРВИС""",Штопоры,31147,38509,9%,0,,822,416,4,-8%,17%,392,-20,0,20%,12%,-20%,1.2,0,0,0,,0,0,38509,24,0,0,,0,169,20,,156,999,999,999,999,13,72,200,78,0,,65,34,6926,10052,1324,1922,20,,431,862,52,82,24,0,8,0,1,1,95,38509,,,,0.00%
163548988,kovrik_sushkaV,Актив/Новинки,359,7,"ООО ""ОПТСЕРВИС""",Коврики для сушки посуды,10610,10610,2%,0,,718,,-360,,2%,,-360,,2%,2%,0%,0.0,0,0,0,,0,0,10610,0,0,0,,0,97,0,,9700,999,999,999,999,0,0,109,68,0,5,63,73,680,680,0,0,,,359,718,7,68,39,31,8,33,1,1,97,10610,,,,
164258708,nabor_korob_chernV,Неликвид,820,61,"ООО ""ОПТСЕРВИС""",Коробки для хранения,19463,32184,7%,0,,1640,754,-67,-17%,25%,,-821,,7%,7%,0%,0.8,0,0,0,,0,0,32184,63,0,0,,0,0,76,,75,999,999,999,999,28,36,511,139,0,,65,25,3819,3819,1509,1509,,,820,1640,61,139,34,0,8,0,3,3,94,32184,,,,0.00%
164306827,dyrokol_univV,Актив/Новинки,685,25,"ООО ""ОПТСЕРВИС""",Дыроколы,80472,80472,4%,0,,1370,,-686,,4%,,-686,,4%,4%,0%,0.0,0,0,0,,0,0,80472,0,0,0,,0,249,0,,24900,999,999,999,999,0,0,323,103,0,2,63,73,6274,6274,0,0,,,685,1370,25,103,39,59,8,64,2,2,97,80472,,,,
168608606,camera_smart_newV,Актив/Новинки,1000,44,"ООО ""ОПТСЕРВИС""",Камеры видеонаблюдения,128711,128711,4%,0,,2000,,-1001,,4%,,-1001,,4%,4%,0%,0.0,0,0,0,,0,0,128711,0,0,0,,0,228,0,,22800,999,999,999,999,0,0,565,100,0,2,63,73,10024,10024,0,0,,,1000,2000,44,100,39,86,8,93,3,3,97,128711,,,,
161789118,masurbator_vagV,Неликвид,753,10,"ООО ""ОПТСЕРВИС""",Мастурбаторы мужские,50168,54235,1%,0,,1506,786,32,-13%,15%,,-754,,1%,1%,0%,0.3,0,0,0,,0,0,54235,72,0,0,,0,36,267,,386,999,999,999,999,41,35,502,143,0,,66,5,1092,1092,82,82,,,753,1506,10,143,21,0,8,0,3,3,92,54235,,,,0.00%
163769178,payalnik_plastikV,Актив/Новинки,1588,63,"ООО ""ОПТСЕРВИС""",Паяльники,32108,32108,4%,0,,3176,,-1589,,4%,,-1589,,4%,4%,0%,0.0,0,0,0,,0,0,32108,0,0,0,,0,39,0,,3900,999,999,999,999,0,51,823,302,0,0,65,73,2455,2455,0,0,,,1588,3176,63,302,39,137,8,148,4,4,94,32108,,,,
168613002,multimer_cifrV,Актив/Новинки,640,51,"ООО ""ОПТСЕРВИС""",Мультиметры,48092,48092,8%,0,,1280,,-641,,8%,,-641,,8%,8%,0%,0.0,0,0,0,,0,0,48092,0,0,0,,0,199,0,,19900,999,999,999,999,0,0,242,122,0,0,63,73,10214,10214,0,0,,,640,1280,51,122,39,55,8,60,1,1,97,48092,,,,
161881350,yorshikV,Неликвид,483,33,"ООО ""ОПТСЕРВИС""",Ершики для унитаза,52500,53483,7%,31,,966,551,67,-2%,9%,521,37,0,7%,7%,-10%,0.1,0,0,0,,0,0,53483,62,0,0,,0,134,517,,1508,999,999,999,999,47,75,273,82,0,,65,3,6478,6478,119,119,,,483,966,33,82,21,0,8,0,1,1,95,53483,36565,16918,31,53.48%
167780652,matras_gamak_greenV,Актив/Не оформлено,,-260,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,0,150,0,0,,63,73,0,0,0,0,,,0,,-260,0,39,0,8,0,1,1,97,0,,,,
163141949,kamera_belV,Неликвид,1859,218,"ООО ""ОПТСЕРВИС""",Камеры видеонаблюдения,400319,402345,12%,9,,3718,2120,260,3%,8%,,-1860,,12%,12%,0%,0.1,0,0,0,,0,0,402345,79,0,0,,0,219,1580,,4967,999,999,999,999,49,76,1350,186,0,5,69,1,64875,64875,327,327,,,1859,3718,218,186,21,0,8,0,7,7,89,402345,,,,0.00%
163618333,nasadki_almazV,Актив/Новинки,226,14,"ООО ""ОПТСЕРВИС""",Аксессуары для рукоделия,3957,4643,6%,0,,452,,-227,,6%,,-227,,6%,6%,0%,1.0,0,0,0,,0,0,4643,0,0,0,,0,203,0,,201,999,999,999,999,0,50,23,38,0,0,64,0,2761,2761,408,408,,,226,452,14,38,39,19,8,21,0,0,95,4643,,,,0.00%
163526179,lampa_nastolV,Актив/Новинки,1461,70,"ООО ""ОПТСЕРВИС""",Светильники,129220,136653,5%,36,,2922,1325,-137,-1%,6%,1256,-206,0,5%,5%,-5%,0.3,0,0,0,,0,0,136653,56,0,0,,0,126,170,,535,999,999,999,999,41,75,751,278,0,3,68,9,12797,12797,696,696,,,1461,2922,70,278,21,126,8,136,4,4,89,136653,,,,0.00%
164384119,palatka_plyazhnV,,,-1017,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,0,903,0,0,,63,73,0,0,0,0,,,0,,-1017,0,39,0,8,0,5,5,97,0,,,,
162564484,skakalka_raduzhV,Неликвид,391,5,"ООО ""ОПТСЕРВИС""",Скакалки,61281,66868,1%,0,,782,430,38,-9%,11%,,-392,,5%,5%,0%,0.8,0,0,0,,0,0,66868,48,0,0,,0,250,58,,355,999,999,999,999,30,35,224,66,0,,65,15,1602,6549,134,547,20,,411,822,22,70,21,0,8,0,1,1,94,66868,,,,0.00%
164270267,derzh_tualetV,Актив/Новинки,933,46,"ООО ""ОПТСЕРВИС""",Держатели для туалетной бумаги,42400,42400,5%,0,,1866,,-934,,5%,,-934,,5%,5%,0%,0.0,0,0,0,,0,0,42400,0,0,0,,0,99,0,,9900,999,999,999,999,0,50,428,177,0,4,65,0,4590,4590,0,0,,,933,1866,46,177,39,80,8,87,2,2,93,42400,42400,0,0,
162030123,tochilka_nozhV,Актив/Новинки,727,22,"ООО ""ОПТСЕРВИС""",Точилки для ножей,32228,32228,3%,0,,1454,,-728,,3%,,-728,,3%,3%,0%,0.0,0,0,0,,0,0,32228,0,0,0,,0,99,0,,9900,999,999,999,999,0,50,326,138,0,1,63,73,2169,2169,0,0,,,727,1454,22,138,39,63,8,68,2,2,97,32228,32228,0,0,
164260106,forma_dlya_ldaV,,635,136,"ООО ""ОПТСЕРВИС""",Формы для льда,43879,44084,21%,130,,1270,596,-40,19%,3%,558,-78,0,1%,21%,-1%,0.0,0,0,0,,0,0,44084,79,0,0,,0,179,1975,,5160,999,999,999,999,0,30,171,121,0,,64,1,35028,35028,163,163,,,635,1270,136,121,21,55,8,59,1,1,95,44084,,,,0.00%
162230670,nabor_korob_serV,Неликвид,894,59,"ООО ""ОПТСЕРВИС""",Коробки для хранения,30416,33860,7%,0,,1788,895,0,-11%,18%,,-895,,7%,7%,0%,0.2,0,0,0,,0,0,33860,58,0,0,,0,1,290,,281,999,999,999,999,37,36,574,152,0,,65,4,3462,3462,352,352,,,894,1788,59,152,34,0,8,0,3,3,94,33860,574,33286,0,0.00%
163600906,maneken_derevV,Актив/Не оформлено,,-367,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,50,255,0,0,,64,73,0,0,0,0,,,0,,-367,0,39,0,8,0,1,1,95,0,,,,
168609382,plastina_shityaV,Актив/Новинки,270,13,"ООО ""ОПТСЕРВИС""",Лапки для швейных машин,7933,7933,5%,0,,540,,-271,,5%,,-271,,5%,5%,0%,0.0,0,0,0,,0,0,7933,0,0,0,,0,149,0,,14900,999,999,999,999,0,0,53,46,0,0,63,73,1890,1890,0,0,,,270,540,13,46,39,23,8,25,0,0,97,7933,,,,
166456823,shari_stirki12V,Неликвид,252,1,"ООО ""ОПТСЕРВИС""",Шары для стиральной машины,57103,57275,0%,0,,504,226,-27,-27%,27%,216,-37,0,27%,0%,-27%,0.1,0,0,0,,0,0,57275,49,0,0,,0,450,980,,8317,999,999,999,999,0,27,115,43,0,3,64,1,427,427,1,1,,,252,504,1,43,21,0,8,0,1,1,96,57275,51651,5624,0,0.00%
166507610,kalkulator_belV,Актив/Осень / Сезонные,,-225,"ООО ""ОПТСЕРВИС""",,0,0,,0,,,,-1,,0%,,-1,,0%,,0%,0.0,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,999,999,999,999,0,50,110,0,0,,68,1,0,0,0,0,,,0,,-225,0,39,0,8,0,1,1,89,0,,,,
166229266,nasos_ruchnoy5V,,472,-49,"ООО ""ОПТСЕРВИС""",Насосы для шариков,4207,4816,-10%,0,,944,,-473,,-10%,,-473,,-10%,-10%,0%,0.1,0,0,0,,0,0,4816,11,2,0,,0,8,138,,211,999,999,999,999,0,50,253,80,0,4,65,1,-932,-932,-118,-118,,,472,944,-49,80,29,41,8,44,1,1,94,4816,2028,2788,0,0.00%
166461988,perevayzka10_1V,Неликвид/Военка,559,20,,Бинты медицинские,82467,82467,4%,0,,1118,492,-68,-25%,29%,,-560,,4%,4%,0%,0.0,0,0,0,,0,0,82467,24,0,0,,0,214,0,,23800,999,999,999,999,0,0,347,95,0,2,64,73,4735,4735,0,0,,,559,1118,20,95,24,0,8,0,2,2,96,82467,,,,
